Nazwisko aktualne,Liczba
PANASIUK,2519
WŁOCH,2519
SARNOWSKA,2515
BERNACKA,2513
BIAŁA,2513
KAPICA,2510
MUSIOŁ,2502
ŁACH,2497
KLIMAS,2495
SOBOCIŃSKA,2493
BOROŃ,2492
KRAUSE,2492
FRANCZAK,2491
FIGIEL,2489
DZIURA,2487
SKWAREK,2487
WILCZEWSKA,2485
ANTONIAK,2483
MIŚ,2482
FILIPCZAK,2481
SKORUPSKA,2481
BIEŃ,2479
KLIMASZEWSKA,2476
LEMAŃSKA,2475
KOSTRZEWSKA,2474
GLIŃSKA,2472
PRZYBYSZEWSKA,2469
BOGDAN,2468
GOŁASZEWSKA,2466
SŁOMIŃSKA,2465
NIEZGODA,2464
KONIECZNY,2460
MŁYNARSKA,2449
PIETRZYKOWSKA,2448
GAJEK,2447
BARTKOWSKA,2444
RUMIŃSKA,2444
RYBA,2443
SEWERYN,2442
PASTUSZKA,2440
MIREK,2438
SZUBERT,2437
JACKIEWICZ,2433
KAZIMIERCZAK,2433
RYCHLIK,2433
KRÓLIK,2432
CZAPLIŃSKA,2431
DOBRZAŃSKA,2428
WISZNIEWSKA,2427
OGÓREK,2426
TURSKA,2426
GÓRALSKA,2425
SPYCHAŁA,2424
NALEPA,2423
JANECZEK,2422
NADOLNA,2422
TUSZYŃSKA,2419
BŁASZKIEWICZ,2416
ŁUGOWSKA,2416
FLAK,2415
MATCZAK,2414
SOBCZYŃSKA,2414
CIOŁEK,2412
GAŁUSZKA,2411
MAKAREWICZ,2411
GALAS,2408
MACHNIK,2408
TABOR,2407
RYBIŃSKA,2405
WALAS,2405
CZUBA,2403
MARCZEWSKA,2403
SZAFRAN,2399
DRĄG,2396
RYBACKA,2396
WĘGLARZ,2394
ZIOMEK,2392
KREFT,2391
DANIEL,2390
PODSIADŁO,2389
STRZAŁKOWSKA,2385
STOPA,2383
SITKO,2382
WYDRA,2381
WCISŁO,2380
PILARCZYK,2379
RADZIKOWSKA,2379
BOJANOWSKA,2378
NEUMANN,2378
ĆWIK,2376
MIKUŁA,2376
KASPERSKA,2371
KŁOSIŃSKA,2371
IWANICKA,2370
SOBOŃ,2367
WNĘK,2364
WOLNY,2363
SŁOMKA,2361
GUZ,2360
KĄKOL,2357
ZAWIŚLAK,2356
LEWCZUK,2354
ŚWIERCZ,2353
KULAS,2352
RADWAŃSKA,2352
PIEŃKOWSKA,2351
FURTAK,2349
SZOSTEK,2347
WACHOWSKA,2346
CHOJECKA,2341
KOBYLIŃSKA,2338
GIZA,2337
NYCZ,2337
LUDWICZAK,2335
MARCINKIEWICZ,2334
DUSZA,2333
KLEIN,2331
KALBARCZYK,2329
KALITA,2328
PIWOWAR,2326
WILIŃSKA,2326
KLUSKA,2324
